Id,Name,Host id,Host_identity_verified,Host name,Neighbourhood group,Neighbourhood,Lat,Long,Country,Country code,Instant_bookable,Cancellation_policy,Room type,Construction year,Price,Service fee,Minimum nights,Number of reviews
1001254,Clean & quiet apt home by the park,80014485718,UNCONFIRMED,Madaline,Brooklyn,Kensington,40.64749,-73.97237,United States,US,0,strict,Private room,2020.0,966,$193 ,10.0,9.0
1002102,Skylit Midtown Castle,52335172823,VERIFIED,Jenna,Manhattan,Midtown,40.75362,-73.98377,United States,US,0,moderate,Entire home/apt,2007.0,142,$28 ,30.0,45.0
1003689,Entire Apt: Spacious Studio/Loft by central park,92037596077,VERIFIED,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,United States,US,0,moderate,Entire home/apt,2009.0,204,$41 ,10.0,9.0
1004098,Large Cozy 1 BR Apartment In Midtown East,45498551794,VERIFIED,Michelle,Manhattan,Murray Hill,40.74767,-73.975,United States,US,1,flexible,Entire home/apt,2013.0,577,$115 ,3.0,74.0
1005202,BlissArtsSpace!,90821839709,UNCONFIRMED,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,United States,US,0,moderate,Private room,2009.0,1060,$212 ,45.0,49.0
1005754,Large Furnished Room Near B'way,79384379533,VERIFIED,Evelyn,Manhattan,Hell's Kitchen,40.76489,-73.98493,United States,US,1,strict,Private room,2005.0,1018,$204 ,2.0,430.0
1006307,Cozy Clean Guest Room - Family Apt,75527839483,UNCONFIRMED,Carl,Manhattan,Upper West Side,40.80178,-73.96723,United States,US,0,strict,Private room,2015.0,291,$58 ,2.0,118.0
1006859,Cute & Cozy Lower East Side 1 bdrm,1280143094,VERIFIED,Miranda,Manhattan,Chinatown,40.71344,-73.99037,United States,US,0,flexible,Entire home/apt,2004.0,319,$64 ,1.0,160.0
1007411,Beautiful 1br on Upper West Side,18824631834,VERIFIED,Alan,Manhattan,Upper West Side,40.80316,-73.96545,United States,US,1,flexible,Entire home/apt,2008.0,606,$121 ,5.0,53.0
1008516,"Lovely Room 1, Garden, Best Area, Legal rental",26802410424,VERIFIED,Darcy,brookln,South Slope,40.66829,-73.98779,United States,US,1,moderate,Private room,2010.0,580,$116 ,4.0,167.0
1009068,Wonderful Guest Bedroom in Manhattan for SINGLES,88920244552,VERIFIED,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,United States,US,0,flexible,Private room,2019.0,149,$30 ,2.0,113.0
1020667,Large B&B Style rooms,57938703679,UNCONFIRMED,Jared,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,United States,US,1,strict,Private room,2016.0,191,$38 ,1.0,74.0
1021219,"Lovely room 2 & garden; Best area, Legal rental",53343148512,VERIFIED,Brad,Brooklyn,South Slope,40.66869,-73.9878,United States,US,1,moderate,Private room,2003.0,1111,$222 ,4.0,168.0
1021771,Clean and Quiet in Brooklyn,26207748876,VERIFIED,Arthur,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,United States,US,0,moderate,Private room,2004.0,203,$41 ,60.0,0.0
1022323,Cute apt in artist's home,88653822946,VERIFIED,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,United States,US,1,moderate,Entire home/apt,2005.0,1097,$219 ,2.0,231.0
1022876,Country space in the city,49725315867,VERIFIED,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,United States,US,1,strict,Private room,2011.0,1020,$204 ,1.0,0.0
1023980,ENJOY Downtown NYC!,63131487263,UNCONFIRMED,Byron,Manhattan,East Village,40.7229,-73.98199,United States,US,0,strict,Private room,2005.0,563,$113 ,2.0,245.0
1024533,Beautiful Sunny Park Slope Brooklyn,50357575975,VERIFIED,Alina,Brooklyn,South Slope,40.66278,-73.97966,United States,US,1,flexible,Entire home/apt,2020.0,370,$74 ,3.0,15.0
1025637,West Side Retreat,55430108992,UNCONFIRMED,Alford,Manhattan,Upper West Side,40.79009,-73.97927,United States,US,0,strict,Private room,2017.0,856,$171 ,4.0,81.0
1026190,BEST BET IN HARLEM,2107606817,UNCONFIRMED,Chester,Manhattan,Harlem,40.81175,-73.94478,United States,US,1,flexible,Entire home/apt,2006.0,62,$12 ,7.0,97.0
1032265,Williamsburg 1 bedroom Apartment,84933495312,UNCONFIRMED,Paul,Brooklyn,Williamsburg,40.70881,-73.9593,United States,US,0,moderate,Entire home/apt,2012.0,439,$88 ,30.0,105.0
1037236,Double Room w Private Deck Clinton Hill Best Area,71078326464,UNCONFIRMED,William,Brooklyn,Clinton Hill,40.69,-73.96788,United States,US,0,flexible,Private room,2010.0,825,$165 ,7.0,27.0
1037788,Your Heaven in Hells Kitchen,20543275700,VERIFIED,Melissa,Manhattan,Hell's Kitchen,40.75979,-73.99119,United States,US,0,strict,Private room,2013.0,646,$129 ,30.0,191.0
1038340,Light-filled 2B duplex in the heart of Park Slope!,42969787263,VERIFIED,Ellia,Brooklyn,Park Slope,40.67343,-73.98338,United States,US,0,flexible,Entire home/apt,2006.0,1037,$207 ,3.0,4.0
1038892,"Sunny, Modern room in East Village!",79667908130,UNCONFIRMED,Walter,Manhattan,East Village,40.72649,-73.97904,United States,US,0,strict,Private room,2015.0,87,$17 ,1.0,338.0
1039445,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,19095545297,UNCONFIRMED,Sawyer,Brooklyn,Williamsburg,40.70933,-73.96792,United States,US,1,moderate,Entire home/apt,2007.0,316,$63 ,1.0,148.0
1039997,Large Room in Amazing East Village Apt,58710475260,UNCONFIRMED,Valeria,Manhattan,East Village,40.72298,-73.98474,United States,US,1,flexible,Private room,2017.0,735,$147 ,1.0,106.0
1041102,Lovely EV Artist's Home,90314634438,UNCONFIRMED,Reid,Manhattan,East Village,40.72162,-73.98008,United States,US,0,moderate,Entire home/apt,2019.0,238,$48 ,9.0,49.0
1041654,Cool Room in Hell's Kitchen,44843744875,VERIFIED,Charlie,Manhattan,Hell's Kitchen,40.76342,-73.98865,United States,US,0,moderate,Private room,2017.0,603,$121 ,7.0,23.0
1045520,Beautiful Meatpacking District Loft,6644226026,UNCONFIRMED,Eddy,Manhattan,Chelsea,40.74138,-74.00197,United States,US,1,strict,Private room,2011.0,1065,$213 ,3.0,167.0
1046625,Spacious luminous apt Upper West NYC,97798221815,VERIFIED,Alisa,Manhattan,Harlem,40.82915,-73.95136,United States,US,1,flexible,Entire home/apt,2005.0,1056,$211 ,31.0,54.0
1047177,Entire 2 Bedroom - Large & Sunny,54627928830,VERIFIED,Edgar,Manhattan,Lower East Side,40.71851,-73.98892,United States,US,0,moderate,Entire home/apt,2017.0,909,$182 ,5.0,70.0
1047729,"Sunny, Spacious Top Floor Haven",88585125323,VERIFIED,Justin,Brooklyn,Flatbush,40.65401,-73.96323,United States,US,1,moderate,Entire home/apt,2017.0,586,$117 ,6.0,16.0
1048282,Private room Great Deal at Lower East Side,15834881958,UNCONFIRMED,Violet,Manhattan,Lower East Side,40.7114,-73.98794,United States,US,1,strict,Private room,2013.0,575,$115 ,30.0,94.0
1048834,perfect for a family or small group,34333762709,UNCONFIRMED,Sienna,Brooklyn,Brooklyn Heights,40.69723,-73.99268,United States,US,0,strict,Entire home/apt,2013.0,292,$58 ,1.0,25.0
1049386,2 bedroom Williamsburg Apt - Bedford L stop,76203104999,VERIFIED,Lucy,Brooklyn,Williamsburg,40.71833,-73.95748,United States,US,1,strict,Entire home/apt,2007.0,194,$39 ,3.0,61.0
1049938,Oh glorious spring!,7693754055,UNCONFIRMED,Ellia,Manhattan,East Village,40.72334,-73.9844,United States,US,0,flexible,Private room,2022.0,123,$25 ,3.0,194.0
1052700,"Large Parlor Room, Landmark Home 1 block to PRATT",89635238032,UNCONFIRMED,Rubie,Brooklyn,Clinton Hill,40.68634,-73.966,United States,US,1,moderate,Private room,2012.0,51,$10 ,7.0,16.0
1053252,2-bed brownstone duplex + garden,40398018895,UNCONFIRMED,Alfred,Brooklyn,Prospect Heights,40.68035,-73.97162,United States,US,0,moderate,Entire home/apt,2018.0,588,$118 ,7.0,21.0
